id,sepal_length,sepal_width,petal_length,petal_width,class
1,C,B,B,C,Iris-setosa
2,C,C,B,C,Iris-setosa
3,C,C,B,C,Iris-setosa
4,C,C,B,C,Iris-setosa
5,C,B,B,C,Iris-setosa
6,A,B,B,C,Iris-setosa
7,C,B,B,C,Iris-setosa
8,C,B,B,C,Iris-setosa
9,C,C,B,C,Iris-setosa
10,C,C,B,C,Iris-setosa
11,A,B,B,C,Iris-setosa
12,C,B,B,C,Iris-setosa
13,C,C,B,C,Iris-setosa
14,C,C,B,C,Iris-setosa
15,A,B,B,C,Iris-setosa
16,A,B,B,C,Iris-setosa
17,A,B,B,C,Iris-setosa
18,C,B,B,C,Iris-setosa
19,A,B,B,C,Iris-setosa
20,C,B,B,C,Iris-setosa
21,A,B,B,C,Iris-setosa
22,C,B,B,C,Iris-setosa
23,C,B,B,C,Iris-setosa
24,C,C,B,C,Iris-setosa
25,C,B,B,C,Iris-setosa
26,C,C,B,C,Iris-setosa
27,C,B,B,C,Iris-setosa
28,C,B,B,C,Iris-setosa
29,C,B,B,C,Iris-setosa
30,C,C,B,C,Iris-setosa
31,C,C,B,C,Iris-setosa
32,A,B,B,C,Iris-setosa
33,C,B,B,C,Iris-setosa
34,A,B,B,C,Iris-setosa
35,C,C,B,C,Iris-setosa
36,C,C,B,C,Iris-setosa
37,A,B,B,C,Iris-setosa
38,C,C,B,C,Iris-setosa
39,C,C,B,C,Iris-setosa
40,C,B,B,C,Iris-setosa
41,C,B,B,C,Iris-setosa
42,C,A,B,C,Iris-setosa
43,C,C,B,C,Iris-setosa
44,C,B,B,C,Iris-setosa
45,C,B,B,C,Iris-setosa
46,C,C,B,C,Iris-setosa
47,C,B,B,C,Iris-setosa
48,C,C,B,C,Iris-setosa
49,A,B,B,C,Iris-setosa
50,C,C,B,C,Iris-setosa
51,B,C,C,A,Iris-versicolor
52,D,C,C,A,Iris-versicolor
53,B,C,C,A,Iris-versicolor
54,A,A,A,A,Iris-versicolor
55,D,A,C,A,Iris-versicolor
56,A,A,C,A,Iris-versicolor
57,D,C,C,A,Iris-versicolor
58,C,A,A,A,Iris-versicolor
59,D,C,C,A,Iris-versicolor
60,C,A,A,A,Iris-versicolor
61,C,A,A,A,Iris-versicolor
62,A,C,A,A,Iris-versicolor
63,A,A,A,A,Iris-versicolor
64,D,C,C,A,Iris-versicolor
65,A,C,A,A,Iris-versicolor
66,D,C,C,A,Iris-versicolor
67,A,C,C,A,Iris-versicolor
68,A,A,A,A,Iris-versicolor
69,D,A,C,A,Iris-versicolor
70,A,A,A,A,Iris-versicolor
71,A,C,C,B,Iris-versicolor
72,D,A,A,A,Iris-versicolor
73,D,A,C,A,Iris-versicolor
74,D,A,C,A,Iris-versicolor
75,D,C,A,A,Iris-versicolor
76,D,C,C,A,Iris-versicolor
77,D,A,C,A,Iris-versicolor
78,D,C,C,B,Iris-versicolor
79,A,C,C,A,Iris-versicolor
80,A,A,A,A,Iris-versicolor
81,A,A,A,A,Iris-versicolor
82,A,A,A,A,Iris-versicolor
83,A,A,A,A,Iris-versicolor
84,A,A,C,A,Iris-versicolor
85,A,C,C,A,Iris-versicolor
86,A,B,C,A,Iris-versicolor
87,D,C,C,A,Iris-versicolor
88,D,A,C,A,Iris-versicolor
89,A,C,A,A,Iris-versicolor
90,A,A,A,A,Iris-versicolor
91,A,A,C,A,Iris-versicolor
92,D,C,C,A,Iris-versicolor
93,A,A,A,A,Iris-versicolor
94,C,A,A,A,Iris-versicolor
95,A,A,A,A,Iris-versicolor
96,A,C,A,A,Iris-versicolor
97,A,C,A,A,Iris-versicolor
98,D,C,A,A,Iris-versicolor
99,C,A,A,A,Iris-versicolor
100,A,A,A,A,Iris-versicolor
101,D,C,D,B,Iris-virginica
102,A,A,C,B,Iris-virginica
103,B,C,D,B,Iris-virginica
104,D,C,D,B,Iris-virginica
105,D,C,D,B,Iris-virginica
106,B,C,D,B,Iris-virginica
107,C,A,C,B,Iris-virginica
108,B,C,D,B,Iris-virginica
109,D,A,D,B,Iris-virginica
110,B,B,D,B,Iris-virginica
111,D,C,C,B,Iris-virginica
112,D,A,C,B,Iris-virginica
113,D,C,D,B,Iris-virginica
114,A,A,C,B,Iris-virginica
115,A,A,C,B,Iris-virginica
116,D,C,C,B,Iris-virginica
117,D,C,D,B,Iris-virginica
118,B,B,D,B,Iris-virginica
119,B,A,D,B,Iris-virginica
120,A,A,C,A,Iris-virginica
121,B,C,D,B,Iris-virginica
122,A,A,C,B,Iris-virginica
123,B,A,D,B,Iris-virginica
124,D,A,C,B,Iris-virginica
125,D,C,D,B,Iris-virginica
126,B,C,D,B,Iris-virginica
127,D,A,C,B,Iris-virginica
128,D,C,C,B,Iris-virginica
129,D,A,D,B,Iris-virginica
130,B,C,D,A,Iris-virginica
131,B,A,D,B,Iris-virginica
132,B,B,D,B,Iris-virginica
133,D,A,D,B,Iris-virginica
134,D,A,C,A,Iris-virginica
135,D,A,D,A,Iris-virginica
136,B,C,D,B,Iris-virginica
137,D,B,D,B,Iris-virginica
138,D,C,D,B,Iris-virginica
139,A,C,C,B,Iris-virginica
140,B,C,D,B,Iris-virginica
141,D,C,D,B,Iris-virginica
142,B,C,C,B,Iris-virginica
143,A,A,C,B,Iris-virginica
144,D,C,D,B,Iris-virginica
145,D,C,D,B,Iris-virginica
146,D,C,C,B,Iris-virginica
147,D,A,C,B,Iris-virginica
148,D,C,C,B,Iris-virginica
149,D,B,D,B,Iris-virginica
150,A,C,C,B,Iris-virginica
